id,ICO,COMPANY,HEADQUARTERS,DEGREE,FIRST_NAME,LAST_NAME,phone,location,street,city,country,postal_code
16,26814803,"Společenství vlastníků jednotek č.p. 1891 Benátky, Vsetín",Hlavní město Praha,PaedDr.,Ernest,Nichols,+420 353 360 611,Vsetín,Benátky,Karlovy Vary,Czechia,75501.0
17,17675031,Notiqua s.r.o.,Hlavní město Praha,PaedDr.,Percy,Lantieri,+420 353 360 611,Nové Město (Praha 1),Růžová,Karlovy Vary,Czechia,11000.0
18,26528371,Russell-Athletic Team 007,Hlavní město Praha,PaedDr.,Raymond,Delmonte,+420 353 360 611,Chodov,Donovalská,Karlovy Vary,Czechia,14900.0
19,6208746,TALARGO BETA s.r.o.,Hlavní město Praha,PaedDr.,Crystal,Turner,+420 353 360 611,Malešice (Praha 10),Malešická,Karlovy Vary,Czechia,10800.0
20,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Maureen,Coburn,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
21,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Velma,Montgomery,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
22,4075803,Zilizuno s.r.o.,Hlavní město Praha,PaedDr.,Felicia,Whatley,+420 353 360 611,Staré Město,Křižovnická,Karlovy Vary,Czechia,11000.0
23,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Bobby,Mooney,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
24,6306446,"Destiny Church, z.s.",Hlavní město Praha,PaedDr.,Kristina,Goodwin,+420 353 360 611,Žižkov (Praha 3),Roháčova,Karlovy Vary,Czechia,13000.0
25,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Alice,Hunter,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
26,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Jeff,Best,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
27,25870793,"Semperflex A.H., s.r.o.",Hlavní město Praha,PaedDr.,Kirsten,Busch,+420 353 360 611,Odry,Vítkovská,Karlovy Vary,Czechia,74235.0
28,8636648,EASTWORLD CORPORATION s.r.o.,Hlavní město Praha,PaedDr.,Jacqueline,Connors,+420 353 360 611,Prosek,Jablonecká,Karlovy Vary,Czechia,19000.0
29,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Darin,Clark,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
30,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Wanda,Delaune,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
31,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Cynthia,Tompkins,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
32,69170070,"Sdružení příznivců regionální kultury REGIKA, z. s.",Hlavní město Praha,PaedDr.,Tyler,Knapp,+420 353 360 611,Ústí nad Orlicí,Chodská,Karlovy Vary,Czechia,56206.0
33,3223728,DAHACOM s.r.o.,Hlavní město Praha,PaedDr.,Mary,Johnson,+420 353 360 611,Libeň (Praha 8),Stejskalova,Karlovy Vary,Czechia,18000.0
34,4136063,Aparat Studio s.r.o.,Hlavní město Praha,PaedDr.,Rosaria,Piatt,+420 353 360 611,Černá Pole (Brno-střed),třída Kpt. Jaroše,Karlovy Vary,Czechia,60200.0
35,26070570,BARTL s.r.o.,Hlavní město Praha,PaedDr.,Jeannette,Hoffer,+420 353 360 611,České Budějovice 5,Vodní,Karlovy Vary,Czechia,37006.0
36,9788123,"MaxiDerivatives, s.r.o. v likvidaci",Hlavní město Praha,PaedDr.,Sanora,Greer,+420 353 360 611,Libeň (Praha 8),U Vlachovky,Karlovy Vary,Czechia,18200.0
37,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Marilyn,Mingle,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
38,2655209,"MoveLimits, s.r.o. v likvidaci",Hlavní město Praha,PaedDr.,Helen,Peterson,+420 353 360 611,Vršovice (Praha 10),Bajkalská,Karlovy Vary,Czechia,10000.0
39,63782871,Verbascum,Hlavní město Praha,PaedDr.,Todd,Shaw,+420 353 360 611,Děčín IV-Podmokly,Jeronýmova,Karlovy Vary,Czechia,40502.0
40,10917241,EksDee s.r.o.,Hlavní město Praha,PaedDr.,Solomon,Justiniano,+420 353 360 611,Staré Brno,Kopečná,Karlovy Vary,Czechia,60200.0
41,25586564,DERONICZ s.r.o. v likvidaci,Hlavní město Praha,PaedDr.,Franklin,Brewer,+420 353 360 611,Trnitá (Brno-jih),Masná,Karlovy Vary,Czechia,60200.0
42,3343294,Grapes Group s.r.o.,Hlavní město Praha,PaedDr.,Betty,Klein,+420 353 360 611,Žižkov (Praha 3),Jeseniova,Karlovy Vary,Czechia,13000.0
43,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Caroline,Harrison,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
44,25265687,PRATR a.s.,Hlavní město Praha,PaedDr.,Patricia,Alanis,+420 353 360 611,Poříčí,Náchodská,Karlovy Vary,Czechia,54103.0
45,47284960,JUMBO - TRANS s.r.o.,Hlavní město Praha,PaedDr.,Guadalupe,Schontz,+420 353 360 611,Malešice (Praha 10),Počernická,Karlovy Vary,Czechia,10800.0
46,25738038,"TÉDÉ Praha,s.r.o.",Hlavní město Praha,PaedDr.,Christopher,Hallquist,+420 353 360 611,Libeň (Praha 8),U pošty,Karlovy Vary,Czechia,18000.0
47,26616564,"Sdružení rodičů při Základní umělecké škole Hustopeče,Komenského 4",Hlavní město Praha,PaedDr.,Amanda,Kieff,+420 353 360 611,Hustopeče,Komenského,Karlovy Vary,Czechia,69301.0
48,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Dale,Dwaileebe,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
49,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Kevin,Resendez,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
50,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Brenda,Patrone,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
51,3762921,Les Gens s.r.o.,Hlavní město Praha,PaedDr.,Victor,Rigney,+420 353 360 611,Dolní Ves,Strž,Karlovy Vary,Czechia,76316.0
52,4847245,PatientFirst - ordinace Michle s.r.o.,Hlavní město Praha,PaedDr.,Donald,Snell,+420 353 360 611,Košíře,Nad zámečkem,Karlovy Vary,Czechia,15000.0
53,25816501,"FOLIMA DESIGN, s.r.o. ""v likvidaci""",Hlavní město Praha,PaedDr.,Ronald,Steiner,+420 353 360 611,Moravská Ostrava,Preslova,Karlovy Vary,Czechia,70200.0
54,4898419,Burzovní nadace,Hlavní město Praha,PaedDr.,Myrtle,Beck,+420 353 360 611,Kročehlavy,náměstí Sítná,Karlovy Vary,Czechia,27201.0
55,24674354,Omtotetra s.r.o.,Hlavní město Praha,PaedDr.,William,Ince,+420 353 360 611,Hostivař,náměstí Přátelství,Karlovy Vary,Czechia,10200.0
56,27957373,přísní muži s.r.o. v likvidaci,Hlavní město Praha,PaedDr.,Bryan,Hitchcock,+420 353 360 611,Vinohrady (Praha 2),Kunětická,Karlovy Vary,Czechia,12000.0
57,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Erma,Washington,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
58,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Verna,Koss,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
59,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Roy,Mcpherson,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
60,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,David,Criss,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
61,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Eric,Rodriguez,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
62,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Maria,Parsons,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
63,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Mary,Smith,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
64,4221265,RAPACE s.r.o.,Hlavní město Praha,PaedDr.,William,Trevino,+420 353 360 611,Zábrdovice (Brno-střed),Cejl,Karlovy Vary,Czechia,60200.0
65,6850952,"Lipno-Radslav, z.s.",Hlavní město Praha,PaedDr.,Christine,Fernandez,+420 353 360 611,Ledenice,Okružní,Karlovy Vary,Czechia,37311.0
66,9335617,Samadria s.r.o.,Hlavní město Praha,PaedDr.,Samuel,Corell,+420 353 360 611,Štýřice,Táborského nábřeží,Karlovy Vary,Czechia,63900.0
67,3912515,Free NOTE group s.r.o.,Hlavní město Praha,PaedDr.,Darlene,Davidson,+420 353 360 611,Černá Pole (Brno-střed),třída Kpt. Jaroše,Karlovy Vary,Czechia,60200.0
68,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Christopher,Craft,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
69,2703190,"AIA - Alternative Investment, s.r.o.",Hlavní město Praha,PaedDr.,Rick,Meunier,+420 353 360 611,Nové Město (Praha 1),Politických vězňů,Karlovy Vary,Czechia,11000.0
70,10773363,Seradovka s.r.o.,Hlavní město Praha,PaedDr.,Lawrence,Waterman,+420 353 360 611,Jinonice (Praha 5),Pod skalou,Karlovy Vary,Czechia,15800.0
71,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Whitney,Thomas,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
72,27843122,SeePOINT s.r.o.,Hlavní město Praha,PaedDr.,Richard,Smart,+420 353 360 611,Mariánské Hory,Fráni Šrámka,Karlovy Vary,Czechia,70900.0
73,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Yvette,Andrews,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
74,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Kathleen,Lowe,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
75,26318903,"Správa majetku města Stříbra, s.r.o.",Hlavní město Praha,PaedDr.,Joseph,Lam,+420 353 360 611,Stříbro,Nerudova,Karlovy Vary,Czechia,34901.0
76,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Celestine,Nguyen,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
77,2647052,Společenství vlastníků jednotek domu Družstevní 785 v Luhačovicích,Hlavní město Praha,PaedDr.,Phoebe,Wiese,+420 353 360 611,Luhačovice,Družstevní,Karlovy Vary,Czechia,76326.0
78,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Elijah,Stinson,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
79,17184304,AB Academy s.r.o.,Hlavní město Praha,PaedDr.,Geoffrey,Jackson,+420 353 360 611,Staré Město,Rybná,Karlovy Vary,Czechia,11000.0
80,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Margaret,Garza,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
81,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Thomas,Noel,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
82,27188299,SUNDICATE s.r.o.,Hlavní město Praha,PaedDr.,Kathy,Stapleton,+420 353 360 611,Michle (Praha 4),U michelského mlýna,Karlovy Vary,Czechia,14000.0
83,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Amber,Estrada,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
84,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Sally,Whitehead,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
85,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Rosemary,Digeorgio,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
86,3653277,AVEJA s.r.o.,Hlavní město Praha,PaedDr.,Larry,Trent,+420 353 360 611,Zelené Předměstí (Pardubice I),Pernerova,Karlovy Vary,Czechia,53002.0
87,17289254,Jiří Vanický s.r.o.,Hlavní město Praha,PaedDr.,Earl,Vanzant,+420 353 360 611,Nové Město nad Metují,T. G. Masaryka,Karlovy Vary,Czechia,54901.0
88,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Barbara,Barker,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
89,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Diane,Torres,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
90,25921894,ALFA CZ s.r.o.,Hlavní město Praha,PaedDr.,Rachel,Wigley,+420 353 360 611,Hradec Králové,Resslova,Karlovy Vary,Czechia,50002.0
91,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Michael,Powers,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
92,28980387,Profiboard corporate s.r.o.,Hlavní město Praha,PaedDr.,Jean,Johnson,+420 353 360 611,Záběhlice (Praha 10),Žirovnická,Karlovy Vary,Czechia,10600.0
93,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Christopher,Erickson,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
94,13986791,Tajemstvibylin s.r.o.,Hlavní město Praha,PaedDr.,Harvey,Buettner,+420 353 360 611,Staré Město,Rybná,Karlovy Vary,Czechia,11000.0
95,5160367,Protect INVEST s.r.o.,Hlavní město Praha,PaedDr.,Latasha,Adams,+420 353 360 611,Uhříněves,Tichonická,Karlovy Vary,Czechia,10400.0
96,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Matthew,Queen,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
97,8131686,"ZATSTAV, s.r.o.",Hlavní město Praha,PaedDr.,Elizabeth,Marriner,+420 353 360 611,Dolní Měcholupy,Za kovárnou,Karlovy Vary,Czechia,11101.0
98,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Jesus,Crow,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
99,24719234,Laterne Investment CZ s.r.o.,Hlavní město Praha,PaedDr.,Barbara,Nivens,+420 353 360 611,Vysočany (Praha 9),K Žižkovu,Karlovy Vary,Czechia,19000.0
100,27798038,Společenství pro dům Závodní 34,Hlavní město Praha,PaedDr.,Craig,Renfrow,+420 353 360 611,Hrabůvka,Závodní,Karlovy Vary,Czechia,70030.0
101,22891609,Sdružení nájemců městských bytů Litoměřice,Hlavní město Praha,PaedDr.,Paul,Naylor,+420 353 360 611,Litoměřice-Město,5. května,Karlovy Vary,Czechia,41201.0
102,5402956,"Great Vision, s.r.o.",Hlavní město Praha,PaedDr.,Jerry,Alu,+420 353 360 611,Strašnice (Praha 10),Donatellova,Karlovy Vary,Czechia,10000.0
103,40526950,ADMIRANA spol. s r.o. v likvidaci,Hlavní město Praha,PaedDr.,Thomas,Mara,+420 353 360 611,Bolevec,Dolejší,Karlovy Vary,Czechia,32300.0
104,2822385,Centrum rozvoje osobnosti s.r.o.,Hlavní město Praha,PaedDr.,Adam,Childers,+420 353 360 611,Běchovice,Do Dubče,Karlovy Vary,Czechia,19011.0
105,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Richard,Torres,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
106,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Seth,Reed,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
107,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Russell,Bush,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
108,6665047,PREMIXSTAV s.r.o.,Hlavní město Praha,PaedDr.,Vanessa,Ramirez,+420 353 360 611,Vinohrady (Praha 2),Na Folimance,Karlovy Vary,Czechia,12000.0
109,9166378,Butter Music + Sound s.r.o.,Hlavní město Praha,PaedDr.,Mark,Macdonald,+420 353 360 611,Blatná,Holečkova,Karlovy Vary,Czechia,38801.0
110,10843230,BOARDWALK BRAND s.r.o.,Hlavní město Praha,PaedDr.,Jordan,Coste,+420 353 360 611,Staré Město,Rybná,Karlovy Vary,Czechia,11000.0
111,27562301,Two Key Management &Services s.r.o.,Hlavní město Praha,PaedDr.,Frank,Scott,+420 353 360 611,Nové Město (Praha 1),Opletalova,Karlovy Vary,Czechia,11000.0
112,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Sarah,Coleman,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
113,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Tracy,Newby,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
114,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Elma,Jones,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
115,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Richard,Vest,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
116,49613600,"KAREL TOUR PRAHA, spol. s r.o.",Hlavní město Praha,PaedDr.,Valeria,Mayhugh,+420 353 360 611,Malá Strana (Praha 1),Karmelitská,Karlovy Vary,Czechia,11800.0
117,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Christopher,Graham,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
118,61859176,"AKORD invest,a.s.",Hlavní město Praha,PaedDr.,Joseph,Waddill,+420 353 360 611,Vršovice (Praha 10),Na pahorku,Karlovy Vary,Czechia,10100.0
119,47306351,S T A V E X I N  spol. s r.o.,Hlavní město Praha,PaedDr.,Pablo,Christie,+420 353 360 611,Krásné Březno,Přístavní,Karlovy Vary,Czechia,40007.0
120,60471620,ALKA s.r.o.,Hlavní město Praha,PaedDr.,Jackie,Vargas,+420 353 360 611,Vinohrady (Praha 2),Riegrovy sady,Karlovy Vary,Czechia,12000.0
121,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Karen,Hunnicutt,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
122,46905057,"AKUSTIKA, spol. s r.o. v likvidaci",Hlavní město Praha,PaedDr.,Patricia,Amick,+420 353 360 611,Brno-město,Masarykova,Karlovy Vary,Czechia,60200.0
123,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Anthony,Wallace,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
124,8362645,"Společenství vlastníků domu B, Wágnerova, Brno",Hlavní město Praha,PaedDr.,James,Graham,+420 353 360 611,Maloměřice (Brno-Maloměřice a Obřany),Wágnerova,Karlovy Vary,Czechia,61400.0
125,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,James,Lyon,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
126,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Mildred,Hayes,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
127,61388726,"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",Hlavní město Praha,PaedDr.,Maria,Canales,+420 353 360 611,"Karlovy Vary, Czech Republic",K Letišti,Karlovy Vary,Czechia,360 01
